Année,Source de financement,BS,BE,FR,GE,LS,LU,NE,SG,UZH,USI,EPFL,ETHZ,FS-CH,IHEID
1998,Communes (jusqu'en 1999),0,60000,0,0,0,0,100,0,65302,3481502,0,0,...,...
1998,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Confédération: subventions de base LEHE (autrefois LAU),30870689,56865202,41626720,59522311,44913934,1167363,19789396,19501713,67599174,2825874,0,0,...,...
1998,Confédération: enveloppe budgétaire EPF,0,0,0,0,0,0,0,0,0,0,324249001,684183000,...,...
1998,Frais centraux de la haute école couverts par des overheads,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Financement de projets de l'UE par le FNS (dès 2015),0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,"Déduction des dépenses non universitaires (FNRS, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Projets du FNS,32689650,44586072,10133363,47816906,29869802,275459,10358388,2275691,40653074,226087,20972469,32915000,...,...
1998,Projets de Innosuisse (autrefois CTI),0,0,73000,0,833636,0,1723148,1492252,577418,0,11021083,12505000,...,...
1998,Programmes de recherche de l'UE,0,0,549987,0,2675298,0,2534543,1445,777991,0,0,0,...,...
1998,Autres programmes internationaux,0,0,89500,0,0,0,60927,378102,1527628,0,7753579,0,...,...
1998,Mandats de recherche de la Confédération,591097,20158133,5967551,0,0,0,2140275,4760,14494728,0,32870590,27305000,...,...
1998,"Mesures spéciales (subv. Extraord. LAU, jusqu'en 1999)",2758979,0,2953751,0,2627306,0,584012,1300576,3990003,0,0,8779000,...,...
1998,"Programmes prioritaires (PPR, jusqu'en 1999)",0,0,498248,0,0,0,3954138,630392,0,0,0,8992000,...,...
1998,Programmes COST (jusqu'en 1999),0,0,127000,0,403954,0,105544,0,246213,0,1304304,1240000,...,...
1998,Financement de projets de l'UE par le SEFRI,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Mandats de recherche du secteur privé,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Mandats de recherche des autres collectivités publiques,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Revenus des prestations de service,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Revenus de la formation continue,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Canton: mandats publics (jusqu'en 1999),1805961,2363746,299423,0,0,0,18911,0,3596690,0,0,0,...,...
1998,Autres cantons: mandats publics (jusqu'en 1999),304761,0,645733,0,0,0,816718,0,1133334,0,4268370,902000,...,...
1998,Communes: mandats publics (jusqu'en 1999),0,0,115300,0,0,0,92797,0,114731,0,0,0,...,...
1998,Economie privée (jusqu'en 1999),4300000,21239237,2005602,69627060,0,0,6171419,37627632,15448338,300000,21746434,49252000,...,...
1998,Fondations privées (jusqu'en 1999),1514682,0,782028,0,0,0,1267538,3026283,10135834,0,0,5369000,...,...
1998,Revenu de la fortune de l'université (jusqu'en 1999),3977189,0,0,0,0,0,346,0,0,0,0,0,...,...
1998,"Déduction des dépenses non universitaires (Crédit de tiers, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1998,Autres sources externes (jusqu'en 1999),11214008,34493423,8855347,0,35155105,102775,3050481,530452,4077631,65550,0,0,...,...
1999,Ecolage,8543177,10242492,6764729,8649000,6035582,275060,2232338,5214603,19793584,4194063,3475000,7465000,...,...
1999,Autres moyens propres de la haute école,10870817,34397908,3328727,15191253,2606203,45737,806921,3382743,61023622,2496131,0,0,...,...
1999,Canton universitaire: couverture ou budget,59434934,252903840,41601590,289974095,134149378,4780327,38784839,15533791,348066010,7000000,0,0,...,...
1999,Canton: imputations internes (jusqu'en 1999),0,447777,0,0,0,0,0,0,0,0,0,0,...,...
1999,Autres cantons: accord intercantonal universitaire,22938494,45419165,46064802,26872107,30537948,1021099,11307815,20826604,78504008,6232636,0,0,...,...
1999,Autres cantons: autres subventions,65199000,85000,0,0,0,235704,1541644,0,869497,0,0,0,...,...
1999,"Confédération: contributions aux investissements figurant dans le compte courant, selon LEHE (autrefois LAU)",2366682,0,3957792,4592328,8366862,0,199940,2847001,0,558298,0,0,...,...
1999,"Confédération: contributions liées à des projets de coopération et d'innovation, selon LEHE (autrefois LAU)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Confédération: autres subventions,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Fondations,0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Communes (jusqu'en 1999),0,60000,0,0,0,0,100,0,12000,40000,0,0,...,...
1999,"Déduction des dépenses non universitaires (budget ordinaire, jusqu'en 1999)",0,0,0,0,0,0,0,0,0,0,0,0,...,...
1999,Confédération: subventions de base LEHE (autrefois LAU),29473378,57779897,41422680,60842582,47070010,1217039,18213288,16604762,64763044,3894187,0,0,...,...
